calc_key,discipline,group,title_en,title_zh,stage_due,inputs,method_standard,outputs,acceptance,na_condition,deliverable_ref
MECH-DUCT-04,MECH,Air distribution,"Diffuser / grille selection: throw, NC, pressure drop",风口选型：射程、噪声、压降,S6,room airflow; ceiling height; NR target; diffuser library,manufacturer throw / NC data; ADPI check for critical rooms,diffuser schedule per room,NC ≤ target; throw suits room; drop ≤ 30 Pa,—,M-100; M-500
MECH-DUCT-05,MECH,Air distribution,"Duct pressure class, leakage class and construction",风管压力等级、漏风等级与构造,S6,system pressures; fire rating needs; kitchen / smoke ducts,AS 4254 classes; AS 1530.4 for fire-rated ducts,duct construction schedule; leakage test requirement,every system classed; test plan in commissioning-tests.csv,—,spec; P-MAT
MECH-HYD-01,MECH,Hydronics,Hydronic flow rates and design ΔT (CHW / HHW / CDW),水系统流量与设计温差,S3,coil duties; ΔT design values; glycol %,Q = ṁ cp ΔT per coil; diversity per riser,"flow schedule per coil, riser and plant",every coil has a flow; riser sums checked against plant flow,no hydronic system (VRF only),M-600 CHW/HHW schematic (pressure and flow per level)
MECH-HYD-02,MECH,Hydronics,"Pipe sizing, velocity and pressure drop per circuit",管径、流速与沿程压降,S6,flows; pipe material; lengths; fittings,Darcy–Weisbach / Hazen-Williams; velocity 1.0–2.5 m/s limits; ≤ 300 Pa/m typical,pipe schedule per run; index circuit pressure drop,every run sized; velocities within limits; noise check with ACU-PIP-01,no hydronic system,H/M-600; M-100 water layouts
MECH-HYD-03,MECH,Hydronics,"Pump head, duty point and NPSHa per pumped circuit",泵扬程、工作点与 NPSHa,S6,index circuit drop; static head; equipment drops; control valve authority,system curve vs library pump curve; NPSHa vs NPSHr,"pump schedule: flow, head, efficiency, motor kW, VSD minimum speed",duty within efficiency island; NPSHa ≥ NPSHr + 0.5 m,no pumps,P-PUMPS; M-605
MECH-HYD-04,MECH,Hydronics,"System volume, expansion, pressurisation vessel, make-up and water treatment",系统容积、膨胀、定压罐、补水与水处理,S6,pipe volumes; equipment volumes; temperature range; static height; relief settings,expansion volume from temperature range; vessel acceptance factor; fill / relief pressures,vessel size; fill pressure; relief valve; make-up rate; treatment spec,vessel acceptance ≥ expansion volume; relief below component rating,no closed hydronic system,M-602/603 plant schematics
MECH-HYD-05,MECH,Hydronics,"Thermal expansion of risers, compensation and anchor / guide loads",立管热膨胀、补偿与固定支架荷载,S6,riser lengths; material; temperature range; anchor positions,ΔL = α L ΔT; loops / bellows; anchor force from stiffness or bellows thrust,expansion schedule; anchor loads to STR-LOAD-06,every riser > 30 m has compensation and anchor loads issued to structure,short low-rise runs only (state length),H-100 riser details; STR interface
MECH-HYD-06,MECH,Hydronics,"Balancing valves / PICVs, differential-pressure bypass, control valve authority",平衡阀 / PICV、压差旁通与调节阀权度,S6,flows; branch pressures; valve library,valve authority ≥ 0.5; PICV ranges; bypass sizing for minimum flow,valve schedule per branch,every branch has balancing means; minimum chiller flow protected,no hydronic system,M-600; M-500
MECH-PLT-01,MECH,Plant,Chiller / heat-pump selection at project conditions and part load,冷水机 / 热泵在项目工况下的选型与部分负荷,S5,block loads; entering conditions; ambient design; refrigerant; efficiency targets,vendor selection at project conditions (not nominal); part-load profile; results.json vendor_duty_check,equipment schedule rows; comparison ΔCAPEX / ΔOPEX / simple annual return,capacity at project conditions ≥ block load × sizing factor; vendor_duty_check status complete,no central plant,Equipment Schedule; decision record
MECH-PLT-02,MECH,Plant,"Heat rejection: cooling tower / dry cooler selection, water balance, Legionella control",散热设备选型、水量平衡与军团菌控制,S5,heat rejection kW; wet-bulb design; cycles of concentration; drift; plume,"vendor selection at design wet-bulb; water balance (evaporation, drift, blowdown); AS/NZS 3666 regime",tower schedule; make-up water L/day to HYD-CW-01; treatment and RMP,tower capacity at design wet-bulb; water balance in HYD-CW-01; AS/NZS 3666 regime documented,air-cooled plant only,M-602; P-COMPLY water
MECH-PLT-03,MECH,Plant,"Heat recovery availability (chiller heat recovery, ASHP allocation, single energy ledger)",可回收热量与热源分配（单一能量账）,S5,simultaneous cooling / heating / DHW profiles; recovery capacity; priorities,hourly ledger of heat sources and sinks; no double counting,heat-recovery kW available per hour; DHW source allocation (HYD-HW-03),one ledger; no heat counted twice; peak-hour verification condition stated,no heat recovery,M-602; C-05/C-07 style write-up
MECH-PLT-04,MECH,Plant,Heating plant capacity and backup (boilers / heat pumps / electric),采暖热源容量与备用,S5,heating block load; DHW share; recovery share; ambient derate,vendor capacity at design ambient (defrost derate); N+1 policy,heating plant schedule; backup scenario table,capacity at design ambient ≥ block heating; backup scenario closed,no heating plant (climate justification),Equipment Schedule
MECH-PLT-05,MECH,Plant,Plant-room heat rejection and ventilation,机房散热与通风,S6,equipment heat losses; room volume; ambient; allowable room temperature,heat balance; ventilation flow = Q / (ρ cp ΔT); mechanical cooling if needed,plant-room ventilation schedule,room temperature within equipment limits at design ambient,—,M-100 plant sheets; M-500
MECH-PLT-06,MECH,Plant,"Refrigerant safety: charge limits, occupied-space concentration, machinery-room detection and ventilation",制冷剂安全：充注量限值、房间浓度、机房探测与通风,S5,refrigerant type and class; charge per circuit; smallest room volume served; machinery room volume,AS/NZS 5149 series: practical limit per m³; access category; machinery room requirements,concentration check per room class; detection / ventilation / alarm requirements,every circuit below limit or mitigation designed; machinery room compliant,no refrigerant systems,M-100; C-54 style write-up
MECH-PLT-07,MECH,Plant,"Redundancy and failure scenarios (N+1, chiller failure backup, power failure)",冗余与故障工况（N+1、主机故障备用、断电）,S5,plant list; essential loads; brief resilience targets,scenario table: capacity available vs required under each failure,failure scenario table; backup capacity kW,every scenario in the brief has a stated outcome,—,decision record; Equipment Schedule
MECH-INS-01,MECH,Insulation,"Duct and pipe insulation thickness (NCC J6 R-values → thickness), vapour barrier and cladding",风管与管道保温厚度（J6 R 值换算）、隔汽层与外护,S6,fluid temperatures; ambient; R required per NCC J6 tables; material k; pipe OD,R = r2 ln(r2/r1)/k inverted to thickness on the cylindrical basis; standard thickness rounding up,"P-PIPES schedule: material, thickness, VB, cladding per system and size",every insulated run has a thickness ≥ NCC requirement; condensation check MECH-INS-02,—,P-PIPES; P-MAT
MECH-INS-02,MECH,Insulation,Condensation risk on ducts / pipes at actual surface temperature and dew point,风管 / 管道表面结露校核,S6,internal fluid temperature; ambient dry bulb / RH; insulation thickness; velocity,surface temperature calc vs dew point with safety margin,condensation check per system; worst case space,surface temperature > dew point + 1 K in every space,no cold services,P-MAT 1a
MECH-NOISE-01,MECH,Noise,"Duct-borne noise, attenuator selection, regenerated noise to NR target",风管噪声、消声器选型与再生噪声,S6,fan sound power; duct path attenuation; room absorption; NR target,octave-band path calc (ASHRAE / CIBSE B4); attenuator insertion loss from library,attenuator schedule; NR per room,NR ≤ target in every room; coordinate ACU-DUCT-01,—,M-500; ACU calc book
MECH-CTL-01,MECH,Controls,"Control descriptions, sequences of operation, setpoints and BMS points list",控制说明、运行顺序、设定值与 BMS 点表,S6,system list; equipment; setpoints; failure modes; metering,functional description per system; points list per equipment,P-LOGIC; P-POINTS; setpoint schedule (ASSUMED until commissioning),every system has a sequence and points; points list totals per controller,—,M-604; P-LOGIC; P-POINTS; commissioning-tests.csv
MECH-CTL-02,MECH,Controls,"Fire-mode matrix (AHUs, fans, dampers, smoke control, lifts interface)",消防工况矩阵,S6,fire zones; systems; FIP interface; smoke control design,matrix of trigger → action per equipment; aligned with FIRE-CE-01,fire-mode matrix; damper / fan actions,every fan and damper has a fire-mode action; consistent with cause & effect,—,M-604; FIRE-CE-01
MECH-ENE-01,MECH,Energy,"Annual HVAC energy: fans, pumps, plant, by end use",全年暖通能耗（风机、泵、主机、按用途）,S6,loads model; equipment efficiencies; schedules; control strategy,EnergyPlus annual run or hourly ledger; results.json annual_kWh,annual kWh by end use; kWh/m²; input to THM-ENE-01,annual energy reported with method; assumptions tagged,—,X-000; P-COMPLY
MECH-ENE-02,MECH,Energy,"NCC Section J6 DtS checks: fan and pump power, economy cycle, insulation, controls, energy recovery",NCC J6 DtS 逐条核对,S6,fan / pump duties; system sizes; climate zone; control design,NCC 2022 J6 clauses via digest record ids,J6 compliance matrix rows with PASS / FAIL / N/A,every applicable J6 clause has a status; JV3 route stated where DtS fails,JV3 whole-building route chosen (list which clauses still apply),compliance-matrix.csv; P-SECJ
MECH-SPC-01,MECH,Space,"Plant space, maintenance clearances and equipment replacement routes",机房面积、维护净距与设备更换路线,S1,equipment list with dimensions (S1 estimates; S5 vendor); door sizes; lift sizes; corridors,vendor clearance data; replacement path drawn from plant room to street / crane,MEP space table (S1); clearance check (S6); replacement route sheet,every major unit has a replacement route and clearance drawn,—,M-100 plant 1:50; systems space table
MECH-SPC-02,MECH,Space,"Riser and shaft sizing for ducts, pipes and trays with access",竖井尺寸（含检修空间）,S1,duct and pipe sizes per level (S3); tray widths; access side,riser packing with 100 mm between services and access face; fire-rating and damper access,"riser schedule per shaft: contents, sizes, free area",riser free area ≥ contents + access; no riser filled beyond 70 % at S3,—,riser cassette details; M/E/H-100
MECH-SPC-03,MECH,Space,Intake / exhaust louvre separations and discharge locations,进排风口间距与排放位置,S1,"louvre positions; exhaust types (toilet, kitchen, generator, car park, cooling tower); wind",AS 1668.2 separation distances and discharge heights; AS/NZS 3666 cooling tower separations,louvre schedule with separations; elevation markup,every exhaust meets its separation to every intake and opening,—,A-200 elevations; M-100
MECH-VRF-01,MECH,VRF,"VRF piping length / height limits, refrigerant charge and branch selection",VRF 管长 / 高差限值、充注量与分歧管选型,S6,outdoor / indoor unit positions; pipe routes; vendor limits,vendor selection software output retained; charge vs MECH-PLT-06 limits,VRF piping schedule; charge per system,within vendor limits; charge below room limits,no VRF,M-100; M-500
ELEC-MD-01,ELEC,Demand,Maximum demand and diversity per board and for the site,最大需量与同时率（各配电盘与全楼）,S3,connected loads by category; occupancy; equipment schedule; diversity basis,AS/NZS 3000 Appendix C method or calculated load model; both shown where they differ,MD per board kVA / A; site MD; basis table,every board has an MD with method; site MD ≤ supply capacity,—,P-MD; E-601; DB schedules
ELEC-MD-02,ELEC,Demand,Hourly demand envelope and MD limiter / load shedding (where used),逐时需量包络与限负荷策略,S6,hourly profiles per load group; shedding priorities,hourly ledger summer / winter; shedding sequence; BMS interface,envelope table; limiter setpoints; shedding order,envelope peak consistent with ELEC-MD-01; shed loads listed,no MD limit or controlled supply,P-MD; P-LOGIC
ELEC-SUP-01,ELEC,Supply,"Supply authority connection, transformer sizing, loading and transfer arrangement",供电接入、变压器容量、负载率与转供,S3,site MD; authority rules; substation space; N-1 policy,transformer kVA at MD with growth; loading under one-out scenarios,transformer schedule; substation requirements; transfer logic,loading ≤ 100 % normal and stated under N-1; authority requirements listed,LV supply only (state authority),E-601; C-25 style write-up
ELEC-SUP-02,ELEC,Supply,"Generator sizing: essential loads, motor starting, step loads, fire pumps",发电机容量：应急负荷、电机启动、分级加载、消防泵,S5,essential load list; motor starting methods; fire pump duty; fuel autonomy,load step table; vendor sizing tool (transient voltage dip ≤ limit); fuel volume for autonomy,generator schedule; fuel tank; essential load table,voltage dip within limit at largest step; fuel autonomy per brief / fire requirement,no generator required (state basis),E-604; C-29 style write-up
ELEC-SUP-03,ELEC,Supply,UPS requirement and sizing,UPS 需求与容量,S5,critical loads; autonomy; battery type,load list; autonomy minutes; battery sizing at end-of-life,UPS schedule or a documented decision not to provide,"decision recorded; if provided, autonomy and load list closed",no critical loads,C-45 style write-up
ELEC-SUP-04,ELEC,Supply,Power factor at coincident peak and correction,峰值功率因数与补偿,S6,load types; VSDs; lighting; authority PF requirement,weighted PF at peak; capacitor / active filter sizing,PF check; correction equipment if needed,PF ≥ authority requirement at peak,—,E-601
ELEC-SUP-05,ELEC,Supply,Harmonic emission assessment and mitigation,谐波发射评估与治理,S6,non-linear load list; network fault level; authority allocation,AS/NZS 61000.3.6 stage 1 / 2 assessment; active filter sizing if needed,P-HARM report; filter schedule,emission ≤ allocated limit at PCC or mitigation designed,small installation below assessment threshold (state basis),P-HARM
ELEC-SLD-01,ELEC,Distribution,"Single-line diagram, essential / non-essential split, life-safety supply arrangement",单线图、应急 / 非应急划分、生命安全供电,S3,boards; sources; essential loads; fire pump and smoke control rules,AS/NZS 3000 and AS 2941 / AS/NZS 1668.1 supply rules; separation of life-safety boards,SLD; board list; life-safety arrangement note with clause basis,every board on the SLD; life-safety loads on compliant supplies,—,E-601; E-604; C-39 style write-up
ELEC-CAB-01,ELEC,Cables,Equipment full-load currents,设备满载电流,S6,equipment kW / kVA; PF; efficiency; phases,I = P / (√3 V PF η),FLC schedule per equipment,every motor and heater has an FLC on the schedule,—,E-602/603; DB schedules
ELEC-CAB-02,ELEC,Cables,Protective device rating and type selection,保护电器整定与类型选择,S6,FLC; starting characteristics; cable ratings; fault levels,AS/NZS 3000 coordination Ib ≤ In ≤ Iz; curve type for motors,breaker schedule per circuit,every circuit has device rating ≥ FLC and ≤ cable rating,—,DB schedules
ELEC-CAB-03,ELEC,Cables,"Cable current-carrying capacity with derating (grouping, ambient, installation, riser)",电缆载流量与降容（成束、环境、敷设、竖井）,S6,circuit currents; route conditions; grouping; ambient; installation method,AS/NZS 3008.1.1 tables via digest records; derating factors multiplied,"cable schedule: size, type, Iz, derating factors",Iz × factors ≥ In for every circuit,—,cable schedule; C-22 / C-46 style write-up
ELEC-CAB-04,ELEC,Cables,Voltage drop per segment and total to final circuits,分段与总电压降,S6,currents; lengths (ELEC-CAB-06); cable impedance; PF,AS/NZS 3008.1.1 mV/A·m; total ≤ 5 % (or authority limit) from point of supply,VD schedule per path,total VD ≤ limit at furthest final circuit; segment allocation shown,—,cable schedule; C-23
ELEC-CAB-05,ELEC,Cables,"Busway rating, tapering, volt drop and joint / tap-off loading",母线槽选型、递减电流压降与插接负荷,S6,riser loads per level; busway data; lengths,tapered current profile; vendor impedance; VD summed per level,busway schedule; VD profile,rating ≥ current at every section; VD within allocation,no busway,E-601; C-24
ELEC-CAB-06,ELEC,Cables,Cable and busway lengths from architectural levels and routes,按建筑标高与路由计算电缆与母线长度,S6,level RLs; route plans; riser positions; slack allowances,length = vertical + horizontal + terminations + 10 % slack (stated),length schedule; BQ input,every cable in the schedule has a length basis,—,cable schedule; BQ
ELEC-CAB-07,ELEC,Cables,"Earthing conductor sizes, MEN, equipotential bonding schedule",接地线截面、MEN 与等电位连接表,S6,active conductor sizes; fault currents; disconnection times,AS/NZS 3000 earthing tables; adiabatic check where needed,earthing schedule; bonding list,every circuit has a PE size; bonding list complete,—,E-601; C-26 / C-43
ELEC-FLT-01,ELEC,Fault,Prospective short-circuit current at every board,各配电盘预期短路电流,S6,source fault level; transformer impedance; cable impedances; motor contribution,IEC 60909 method; three-phase and single-phase to earth; minimum and maximum,fault level schedule per board,every board has Ik max and min; switchgear rating ≥ Ik max (ELEC-SWB-01),—,E-607; C-30
ELEC-FLT-02,ELEC,Fault,Earth-fault loop impedance and disconnection times,接地故障回路阻抗与断开时间,S6,loop impedances; device curves; touch voltage limits,AS/NZS 3000 disconnection times; Zs ≤ limit per device,EFLI schedule per final circuit group,every final circuit meets disconnection time,—,E-607; C-31
ELEC-FLT-03,ELEC,Fault,Protection settings and discrimination (selectivity study),保护整定与级差（选择性）,S6,device curves; fault levels; cable damage curves,time–current curve overlay; selectivity tables from vendor,settings schedule; discrimination statement per path,full or stated partial selectivity per path; no cable damage curve crossed,—,E-607; C-32
ELEC-FLT-04,ELEC,Fault,Arc-flash incident energy and PPE categories (preliminary; final at S10 with vendor data),弧闪能量与个人防护（初步；S10 按厂家数据定稿）,S6,fault levels; clearing times; working distances; enclosure types,AS/NZS 4836 / IEEE 1584 method,incident energy per board; label basis,every main board has an energy value with basis; labels only from final data,—,C-41
ELEC-SWB-01,ELEC,Switchboards,"Busbar sizing, short-circuit force and support spacing; switchgear rating vs fault level",母排选型、短路电动力与支撑间距；开关柜额定与故障电流,S6,rated currents; Ik peak; bar geometry; support type,AS/NZS 61439 ratings; electrodynamic force per IEC 60865 method; support spacing,busbar schedule; rating checks; GA inputs,bar temperature rise and force within limits; Icw / Ipk ≥ fault level,—,E-612; C-33 / C-34
ELEC-SWB-02,ELEC,Switchboards,"Switchboard losses, temperature rise, ventilation and form of segregation",配电盘损耗、温升、通风与分隔形式,S6,device losses; busbar losses; enclosure; ambient,AS/NZS 61439 temperature-rise method; ventilation flow,losses W; ventilation requirement; form stated,internal temperature within device limits,—,E-612; C-35
ELEC-SWB-03,ELEC,Switchboards,"Switchroom size, clearances, egress and cable entries",开关房尺寸、净距、疏散与进线,S1,board sizes (S1 estimate; S6 GA); door swing; escape routes,AS/NZS 3000 access and clearance rules; AS/NZS 61439 installation,switchroom layout check; clearance dimensions,clearances and egress compliant; doors open outwards where required,—,E-606; C-37
ELEC-DB-01,ELEC,Distribution boards,"Floor DB / branch box demand, phase balance and floors-per-DB comparison",楼层箱 / 分支箱需量、三相平衡与每箱带层数比选,S6,rooms per DB; room loads; diversity,demand per DB; phase balance ≤ 10 % imbalance; option comparison with decision record,DB schedule; phase balance table,imbalance ≤ 10 %; comparison recorded,single small board,E-605; C-28
ELEC-DB-02,ELEC,Distribution boards,Guest room / apartment supply allowance under conservative appliance scenarios,客房 / 公寓供电容量（保守用电情景）,S6,room appliance list; simultaneity; heating / cooling type,scenario table; conservative allowance per room,room load centre schedule,room breaker and cable ≥ scenario load,no guest rooms / apartments,E-605; C-27
ELEC-DB-03,ELEC,Distribution boards,"Lift and fire-pump starting checks (starting current, voltage dip, supply capacity)",电梯与消防泵启动校核,S6,motor data; starting method; supply impedance,voltage dip = Istart × Zsource; limit per authority / equipment,starting check per large motor,dip within limit on normal and generator supply,no large motors,C-29
ELEC-LGT-01,ELEC,Lighting,Illuminance per space and uniformity,各空间照度与均匀度,S6,space list; tasks; reflectances; luminaire library,AS/NZS 1680 series maintained illuminance; Radiance / DIALux calc,lux schedule per space; calc files,every space meets target lux and uniformity,—,P-LIGHT; E-110
ELEC-LGT-02,ELEC,Lighting,Lighting power density and controls (NCC J7),照明功率密度与控制（NCC J7）,S6,luminaire wattages; areas; control types; adjustment factors,NCC J7 illumination power density with control adjustment factors,J7 table per space; PASS / FAIL,every space ≤ allowance after factors,JV3 route (state),compliance-matrix.csv; P-SECJ
ELEC-LGT-03,ELEC,Lighting,"Emergency lighting and exit signs: spacing, lux, classification",应急照明与出口标志：间距、照度、分类,S6,egress paths; mounting heights; luminaire classification,AS/NZS 2293.1 spacing tables / calc; exit sign viewing distances,emergency lighting layout schedule,every path has ≥ minimum lux; signs visible per distance,—,F-210; E-110
ELEC-LPS-01,ELEC,Lightning,"Lightning protection risk assessment, LPS class and SPD scheme",防雷风险评估、防雷等级与 SPD 方案,S6,building dimensions; location; ground flash density; occupancy; services,AS 1768 risk method; LPS class; SPD coordination,risk assessment; LPS / SPD schedule,risk ≤ tolerable or LPS designed,—,C-42
ELEC-EV-01,ELEC,EV,"EV charging provision, load management and NCC J9 requirements",电动车充电预留、负荷管理与 J9 要求,S6,car park bays; jurisdiction requirement; supply capacity,NCC J9 EV provisions; load management share of MD,EV schedule; load management; MD share,provision meets NCC / DA; MD effect included in ELEC-MD-01,no car park,E-100; C-38 style
ELEC-MET-01,ELEC,Metering,"Metering scheme: NCC J9D3, tenancy, Green Star / NABERS requirements",计量方案：J9D3、租户、绿星 / NABERS,S6,energy-use categories; boards; tenancies; rating targets,NCC J9D3 thresholds; rating tool metering rules,P-METER; meter schedule; points to BMS,every energy-use category over threshold metered; rating tool rules met,—,P-METER; P-POINTS
ELEC-ICT-01,ELEC,ICT,"Communications backbone, PoE budget, cable lengths, rack heat and power",通信主干、PoE 功率预算、线缆长度、机柜散热与供电,S6,device counts; AP layout; switch types; rack positions,PoE budget per switch; channel length ≤ 90 m; rack heat to MECH-PLT-05,ICT schedule; rack schedule,PoE within budget; lengths within limit; rack cooling closed,—,P-ICT
ELEC-ENE-01,ELEC,Energy,Annual electrical energy estimate by end use,全年电耗估算（按用途）,S6,MD model; hours; lighting; HVAC (MECH-ENE-01); DHW; vertical transport; kitchen,hourly ledger or rating-tool inputs,kWh by end use; input to THM-ENE-01 and ratings,end uses reconcile with metering scheme,—,P-COMPLY
ELEC-PV-01,ELEC,Generation,"PV and battery sizing, export limits, structural and fire requirements",光伏与储能容量、出口限制、结构与消防要求,S5,roof area; irradiance; load profile; authority export rules,yield model; export limit; AS/NZS 5033 / AS/NZS 5139,PV schedule; yield; export arrangement,yield and limits recorded; roof loads to STR-LOAD-06,no PV in brief,Equipment Schedule; decision record
HYD-CW-01,HYD,Cold water,Potable water daily demand and probable simultaneous demand,自来水日用量与同时流量,S3,fixture schedule; occupancy; cooling tower make-up; irrigation; kitchen,AS/NZS 3500.1 loading / fixture units (digest records) with hotel demand data,daily demand kL/day; peak flow L/s per riser and main,every fixture counted; make-up and process water included,—,H-601; C-49 style write-up
HYD-CW-02,HYD,Cold water,"Authority mains pressure / flow, meter sizing, backflow hazard rating and devices",市政供水压力 / 流量、水表、回流防止等级与装置,S3,authority letter (S0 data pack); demand; hazard sources,authority data; AS/NZS 3500.1 backflow hazard ratings; meter sizing by peak flow,meter size; backflow schedule; supply pressure at boundary,authority data on file (not assumed); every cross-connection hazard has a device,—,H-601; C-13
HYD-CW-03,HYD,Cold water,"Storage: break tanks, day storage, fire / potable separation, refill rates",储水：中间水箱、日储、消防 / 生活分隔、补水,S3,demand; supply reliability; authority rules; pump duties,storage = demand × hours of autonomy (brief); refill within off-peak; turnover for water quality,tank schedule; volumes; refill flow,turnover ≤ 24 h or treatment; refill within supply capacity,direct mains supply throughout (state pressure basis),H-601; M-603
HYD-CW-04,HYD,Cold water,"Pressure zoning, PRVs / PHE pressure breaks and the pressure envelope at every level",压力分区、减压阀 / 板换隔压与各层压力包络,S3,level RLs; supply pressures; fixture pressure window 250–500 kPa,static + pump head per zone; PRV settings; envelope table per level,pressure per level table; PRV schedule; zone diagram,every level within 250–500 kPa at fixtures (or stated window); no zone > 8 levels without break,single-storey low-pressure site,H-601 (HY-0040 benchmark); C-12
HYD-CW-05,HYD,Cold water,"Booster / transfer pump duties, standby and VSD",增压 / 转输泵工况、备用与变频,S5,zone flows; heads; NPSH; control mode,system curve vs library pump curve; duty / standby / assist,pump schedule rows; control description,duty on curve; standby policy per brief,gravity supply only,P-PUMPS; M-605
HYD-CW-06,HYD,Cold water,"Cold-water pipe sizing per riser and branch, velocity and water-hammer control",冷水管径（立管与支管）、流速与水锤,S6,flows per branch; material; lengths; valve types,AS/NZS 3500.1 sizing tables or hydraulic calc; velocity ≤ 3 m/s (2.4 m/s in rooms); arrestors,pipe schedule per run; arrestor schedule,every run sized; velocities within limits,—,H-100 layouts
